1. Equated Observed Scores for Each Path 
        path.1      path.2      path.3
4  1.657419e-03 0.000000e+00 0.000000e+00
5  1.466007e-04 0.000000e+00 0.000000e+00
6  1.015416e-05 0.000000e+00 0.000000e+00
7  5.654028e-07 2.138887e-11 0.000000e+00
8  2.577957e-08 3.399455e-12 0.000000e+00
9  9.750374e-10 2.415208e-13 1.011644e-15
10 3.085185e-11 1.027667e-14 4.788559e-17
11 8.201190e-13 2.947405e-16 1.039458e-18
12 1.830786e-14 6.062578e-18 1.382396e-20
13 3.413607e-16 9.270899e-20 1.270743e-22
14 5.259133e-18 1.076423e-21 8.641489e-25
15 6.584840e-20 9.595130e-24 4.544912e-27
16 6.547375e-22 6.587834e-26 1.907708e-29
17 5.008820e-24 3.470254e-28 6.537288e-32
18 2.818950e-26 1.386252e-30 1.857871e-34
19 1.089444e-28 4.110035e-33 4.421159e-37
20 2.557608e-31 8.723673e-36 8.845618e-40
21 2.719976e-34 1.246458e-38 1.486777e-42
22 0.000000e+00 1.067095e-41 2.088808e-45
23 0.000000e+00 4.103236e-45 2.431048e-48
24 0.000000e+00 0.000000e+00 2.313260e-51
25 0.000000e+00 0.000000e+00 1.766794e-54
26 0.000000e+00 0.000000e+00 1.055119e-57
27 0.000000e+00 0.000000e+00 4.738548e-61
28 0.000000e+00 0.000000e+00 1.502961e-64
29 0.000000e+00 0.000000e+00 2.997610e-68
30 0.000000e+00 0.000000e+00 2.824022e-72

$`-4.7`
         path.1       path.2       path.3
0  5.451798e-01 0.000000e+00 0.000000e+00
1  3.362101e-01 0.000000e+00 0.000000e+00
2  9.803237e-02 0.000000e+00 0.000000e+00
3  1.799488e-02 0.000000e+00 0.000000e+00
4  2.335852e-03 0.000000e+00 0.000000e+00
5  2.283382e-04 0.000000e+00 0.000000e+00
6  1.747897e-05 0.000000e+00 0.000000e+00
7  1.075621e-06 4.172928e-11 0.000000e+00
8  5.420089e-08 7.329795e-12 0.000000e+00
9  2.265591e-09 5.755281e-13 2.437648e-15
10 7.922657e-11 2.706411e-14 1.275198e-16
11 2.327534e-12 8.578486e-16 3.059209e-18
12 5.742305e-14 1.950103e-17 4.496393e-20
13 1.183291e-15 3.295729e-19 4.567923e-22
14 2.014752e-17 4.229042e-21 3.433043e-24
15 2.787932e-19 4.166194e-23 1.995472e-26
16 3.063611e-21 3.161264e-25 9.256810e-29
17 2.590188e-23 1.840385e-27 3.505715e-31
18 1.611063e-25 8.124918e-30 1.101093e-33
19 6.881128e-28 2.662269e-32 2.895836e-36
20 1.785329e-30 6.245040e-35 6.403176e-39
21 2.098353e-33 9.861503e-38 1.189440e-41
22 0.000000e+00 9.330345e-41 1.846821e-44
23 0.000000e+00 3.965068e-44 2.375468e-47
24 0.000000e+00 0.000000e+00 2.498098e-50
25 0.000000e+00 0.000000e+00 2.108631e-53
26 0.000000e+00 0.000000e+00 1.391700e-56
27 0.000000e+00 0.000000e+00 6.907465e-60
28 0.000000e+00 0.000000e+00 2.421312e-63
29 0.000000e+00 0.000000e+00 5.337126e-67
30 0.000000e+00 0.000000e+00 5.556864e-71

$`-4.6`
         path.1       path.2       path.3
0  5.120635e-01 0.000000e+00 0.000000e+00
1  3.489991e-01 0.000000e+00 0.000000e+00
2  1.124637e-01 0.000000e+00 0.000000e+00
3  2.281505e-02 0.000000e+00 0.000000e+00
4  3.273008e-03 0.000000e+00 0.000000e+00
5  3.535981e-04 0.000000e+00 0.000000e+00
6  2.991414e-05 0.000000e+00 0.000000e+00
7  2.034462e-06 8.114774e-11 0.000000e+00
8  1.132990e-07 1.575276e-11 0.000000e+00
9  5.233962e-09 1.366976e-12 5.861277e-15
10 2.022783e-10 7.104241e-14 3.388663e-16
11 6.567559e-12 2.488651e-15 8.984405e-18
12 1.790703e-13 6.252308e-17 1.459398e-19
13 4.078105e-15 1.167787e-18 1.638543e-21
14 7.673931e-17 1.656089e-20 1.360967e-23
15 1.173567e-18 1.803062e-22 8.742658e-26
16 1.425243e-20 1.512033e-24 4.482174e-28
17 1.331729e-22 9.728341e-27 1.876003e-30
18 9.154332e-25 4.746554e-29 6.511940e-33
19 4.321188e-27 1.718861e-31 1.892735e-35
20 1.239057e-29 4.456086e-34 4.625308e-38
21 1.609463e-32 7.776620e-37 9.495484e-41
22 0.000000e+00 8.131580e-40 1.629404e-43
23 0.000000e+00 3.819067e-43 2.316235e-46
24 0.000000e+00 0.000000e+00 2.691984e-49
25 0.000000e+00 0.000000e+00 2.511267e-52
26 0.000000e+00 0.000000e+00 1.831755e-55
27 0.000000e+00 0.000000e+00 1.004778e-58
28 0.000000e+00 0.000000e+00 3.892526e-62
29 0.000000e+00 0.000000e+00 9.482387e-66
30 0.000000e+00 0.000000e+00 1.091112e-69

$`-4.5`
         path.1       path.2       path.3
0  4.779153e-01 0.000000e+00 0.000000e+00
1  3.599821e-01 0.000000e+00 0.000000e+00
2  1.282031e-01 0.000000e+00 0.000000e+00
3  2.874332e-02 0.000000e+00 0.000000e+00
4  4.557137e-03 0.000000e+00 0.000000e+00
5  5.441070e-04 0.000000e+00 0.000000e+00
6  5.087217e-05 0.000000e+00 0.000000e+00
7  3.823691e-06 1.572358e-10 0.000000e+00
8  2.353362e-07 3.373350e-11 0.000000e+00
9  1.201497e-08 3.235154e-12 1.406041e-14
10 5.131815e-10 1.858152e-13 8.983872e-16
11 1.841429e-11 7.193776e-15 2.632412e-17
12 5.548866e-13 1.997389e-16 4.725719e-19
13 1.396588e-14 4.123022e-18 5.863829e-21
14 2.904406e-16 6.461971e-20 5.382706e-23
15 4.908816e-18 7.775374e-22 3.821430e-25
16 6.588508e-20 7.206120e-24 2.165213e-27
17 6.803677e-22 5.123992e-26 1.001555e-29
18 5.168731e-24 2.762979e-28 3.842210e-32
19 2.696435e-26 1.105782e-30 1.234212e-34
20 8.544905e-29 3.168192e-33 3.333268e-37
21 1.226667e-31 6.110522e-36 7.562688e-40
22 0.000000e+00 7.061417e-39 1.434225e-42
23 0.000000e+00 3.665250e-42 2.253205e-45
24 0.000000e+00 0.000000e+00 2.894143e-48
25 0.000000e+00 0.000000e+00 2.983801e-51
26 0.000000e+00 0.000000e+00 2.405325e-54
27 0.000000e+00 0.000000e+00 1.458162e-57
28 0.000000e+00 0.000000e+00 6.243048e-61
29 0.000000e+00 0.000000e+00 1.680786e-64
30 0.000000e+00 0.000000e+00 2.137438e-68

$`-4.4`
         path.1       path.2       path.3
0  4.429487e-01 0.000000e+00 0.000000e+00
1  3.687337e-01 0.000000e+00 0.000000e+00
2  1.451309e-01 0.000000e+00 0.000000e+00
3  3.596067e-02 0.000000e+00 0.000000e+00
4  6.301041e-03 0.000000e+00 0.000000e+00
5  8.314459e-04 0.000000e+00 0.000000e+00
6  8.591312e-05 0.000000e+00 0.000000e+00
7  7.136601e-06 3.034658e-10 0.000000e+00
8  4.854303e-07 7.195302e-11 0.000000e+00
9  2.738989e-08 7.626268e-12 3.364228e-14
10 1.292909e-09 4.840918e-13 2.375639e-15
11 5.127214e-11 2.071252e-14 7.693080e-17
12 1.707497e-12 6.355770e-16 1.526314e-18
13 4.749564e-14 1.449942e-17 2.093084e-20
14 1.091622e-15 2.511478e-19 2.123417e-22
15 2.039018e-17 3.339759e-21 1.666058e-24
16 3.024550e-19 3.420776e-23 1.043264e-26
17 3.451809e-21 2.688197e-25 5.333322e-29
18 2.898121e-23 1.601989e-27 2.261172e-31
19 1.670905e-25 7.085671e-30 8.027344e-34
20 5.851924e-28 2.243637e-32 2.395972e-36
21 9.284265e-31 4.782432e-35 6.007822e-39
22 0.000000e+00 6.107898e-38 1.259180e-41
23 0.000000e+00 3.503749e-41 2.186253e-44
24 0.000000e+00 0.000000e+00 3.103481e-47
25 0.000000e+00 0.000000e+00 3.536132e-50
26 0.000000e+00 0.000000e+00 3.150372e-53
27 0.000000e+00 0.000000e+00 2.110685e-56
28 0.000000e+00 0.000000e+00 9.987198e-60
29 0.000000e+00 0.000000e+00 2.971589e-63
30 0.000000e+00 0.000000e+00 4.176375e-67

$`-4.3`
         path.1       path.2       path.3
0  4.074176e-01 0.000000e+00 0.000000e+00
1  3.748251e-01 0.000000e+00 0.000000e+00
2  1.630441e-01 0.000000e+00 0.000000e+00
3  4.464804e-02 0.000000e+00 0.000000e+00
