"","mar.rel","loc.mrel","ave.csee","loc.ave","max.csee","loc.max","order"
"62",0.858243888859006,142,0.397404813324655,1136,0.670641183759048,1101,62
"63",0.858240019436613,1116,0.397425875100004,1030,0.670641437676905,702,63
"64",0.858238232585782,1176,0.39753837256951,1224,0.67064183234981,24,64
"65",0.858234001037876,609,0.397589417524413,1284,0.670642521870392,95,65
"66",0.85821971499512,892,0.397649910538695,719,0.670642527315836,561,66
"67",0.858214463375494,1037,0.397685714577088,864,0.670643279150872,168,67
"68",0.858202523246276,72,0.397719923348624,468,0.670643362998631,347,68
"69",0.858178571211166,494,0.397735839212661,1288,0.67064393813103,1138,69
"70",0.858172995288479,1216,0.397738545037345,1214,0.670644594300159,922,70
"71",0.858128150494329,1255,0.397770938892197,320,0.670645323404891,454,71
"72",0.858123905455124,137,0.397806919893827,36,0.670647157677548,1136,72
"73",0.858109263110239,817,0.397819257793393,1105,0.670647228882955,311,73
"74",0.858086085291257,321,0.397835129528026,1037,0.670648008065172,668,74
"75",0.858046008287635,899,0.397848787920474,1147,0.670648040071808,920,75
"76",0.858044403701213,1007,0.39784894461829,1067,0.670648943687238,885,76
"77",0.858031993882562,681,0.397871771929903,787,0.670649244162904,596,77
"78",0.858016091937086,393,0.39788130730997,756,0.670649426566036,274,78
"79",0.85799718360969,1146,0.397897985131685,1039,0.67065025707006,271,79
"80",0.857994025268055,1105,0.397912926391621,1077,0.670650466609619,343,80
"81",0.857971660140322,535,0.397926997809645,1072,0.67065132815113,235,81
"82",0.857970523676198,894,0.397975423562761,1007,0.670654568795238,201,82
"83",0.857964543309878,504,0.398042534440025,1071,0.670655098267726,1175,83
"84",0.857948438944563,1070,0.398044956930744,824,0.67065511842567,815,84
"85",0.857940359102115,1142,0.398058045938169,1260,0.670655562510624,417,85
"86",0.857920243311983,993,0.398087246362697,1138,0.670656370255407,1211,86
"87",0.857919623623469,756,0.398148219842774,823,0.670656941271525,419,87
"88",0.857914122590988,1296,0.398163000729739,491,0.670657476474569,704,88
"89",0.857899096638876,178,0.398169149232798,1041,0.670661054583372,777,89
"90",0.857890846665774,173,0.398172911229243,106,0.670662461823711,270,90
"91",0.857853873568532,822,0.398194064171465,927,0.670663731707995,847,91
"92",0.857841588025773,491,0.398228819198709,855,0.670664845811178,1243,92
"93",0.857832901470644,1150,0.398253876398395,1152,0.670668747664163,238,93
"94",0.857828830211168,787,0.398273490238034,1151,0.670671347439829,415,94
"95",0.857821797534406,884,0.398285094454008,893,0.670673493248981,453,95
"96",0.857819559319908,215,0.39838571913253,929,0.670675334013767,525,96
"97",0.857809253806735,1039,0.398393792692604,1066,0.670675503900338,378,97
"98",0.857805338755334,1074,0.398452139247243,979,0.670676529446143,57,98
"99",0.85778620655249,537,0.398513487604472,1179,0.670682193341036,1029,99
"100",0.857770904560836,929,0.39852067424646,703,0.670683984282403,420,100
"101",0.857759445313033,824,0.398545180711235,572,0.670684044402011,344,101
"102",0.857713363668859,1064,0.398669788476679,997,0.670687978082011,1176,102
"103",0.857709335860821,205,0.398682574766187,461,0.670689614177293,1028,103
"104",0.857704569205248,923,0.398697553212712,1246,0.670689939659414,669,104
"105",0.857703677676861,1041,0.398710616861701,1275,0.670690554017147,852,105
"106",0.857703283774781,248,0.398713449588058,1103,0.670690976667466,23,106
"107",0.857675332086775,458,0.398726441595163,432,0.670691243584538,775,107
"108",0.857673475372472,1077,0.398784153155357,534,0.670691980678301,273,108
"109",0.857641937428976,315,0.398800847292882,598,0.67069220011938,635,109
"110",0.857638995483964,574,0.398815781950934,813,0.670695501294591,1173,110
"111",0.857630655345575,100,0.398861773638386,705,0.670695630695305,632,111
"112",0.85760346588673,25,0.398973378402772,360,0.670697905457791,127,112
"113",0.857601951760932,176,0.399041796665372,1074,0.670698542561425,1139,113
"114",0.857597968406403,717,0.399110684036023,820,0.670700294646976,1209,114
"115",0.857592981986091,1067,0.399152397098346,1184,0.670701904663187,450,115
"116",0.857522122902084,212,0.399161533714859,717,0.670703352390588,813,116
"117",0.857516881455837,820,0.399167006631837,1134,0.670703956711553,703,117
"118",0.857493718567774,1285,0.399200806752877,1172,0.670705536331161,851,118
"119",0.857486164005522,1104,0.399208243908915,966,0.670705747107018,342,119
"120",0.857478379306138,1182,0.39923118827829,576,0.670706060513985,1212,120
"121",0.857436235599683,1030,0.399246339793052,1217,0.670706567019647,1104,121
"122",0.857410217511196,646,0.399260644654962,1038,0.670708688120878,888,122
"123",0.857393461497245,927,0.399298663602088,537,0.67070891020642,1062,123
"124",0.857391218873179,252,0.399307482956299,574,0.670709254576633,527,124
"125",0.85738150781698,823,0.399345476378556,826,0.670714517647619,957,125
"126",0.85738032297172,791,0.399391601001966,822,0.670716506289275,456,126
"127",0.857372411891004,465,0.399451793979284,1003,0.67071664350438,921,127
"128",0.857312852154954,1260,0.399496483381704,248,0.670719018990446,1026,128
"129",0.857292895539496,608,0.399513673676711,1181,0.670720079714807,707,129
