Item,SPSS,OWL ID,FY 19 Calibration Status,Bank status fy18,NOTES,N count in 2018,N count in 2017,N count in 2015,FY18 Calibration Status,Bank status FY16,Fix in 2017,SKIP?,a_FY18,b_FY18,c_FY18,a_FY16,se of a,b_FY16,se of b,c_FY16,se of c,FINAL Resolution,Cog Level_NEW
1127,@4624,4624,Include in FY19 calib,FY18_Calibrated&Unused,,162,162,,Include FY18 Calib,Piloting FY16,,;,1.12,-0.4509575,0.2,0,0,0,0,0,0,6.SP.5c,PU
1128,@4626,4626,Include in FY19 calib,FY18_Calibrated&Unused,,2587,1958,805,Include FY18 Calib,Operational FY16,,;,1.238605294,0.63157,0.2446251,1.193708971,0,0.408837477,0,0.19971,0,7.SP.6,CU
1129,@4628,4628,Include in FY19 calib,FY18_Calibrated&Unused,,403,409,806,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.4155144,0.2,0.685831224,0,0.09734112,0,0.19262,0,7.SP.6,CU
1130,@4632,4632,Include in FY19 calib,FY18 Operational ,,927,409,806,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.9812176,0.2,1.747573772,0,1.030673345,0,0.24005,0,8.EE.1,CU
1131,@4634,4634,Include in FY19 calib,FY18_Calibrated&Unused,,403,409,806,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.8934232,0.2,0.937429685,0,0.727877697,0,0.18253,0,6.RP.1,CU
1132,@4641,4641,Include in FY19 calib,FY18_Calibrated&Unused,,223,236,684,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.0231541,0.2,0.930975073,0,-0.112450093,0,0.2,0,6.SP.5c,CU
1133,@4643,4643,Include in FY19 calib,FY18_Calibrated&Unused,,457,466,852,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.961116,0.2,0.781188667,0,0.888344595,0,0.20389,0,7.SP.6,CU
1134,@4646,4646,Include in FY19 calib,FY18_Calibrated&Unused,,1160,903,695,Include FY18 Calib,Operational FY16,,;,0.978736,1.5188972,0.218153,1.2666313,0,1.238382233,0,0.2,0,7.RP.3,ST
1135,@4647,4647,Include in FY19 calib,FY18 Operational ,,476,408,700,Include FY18 Calib,Operational FY16,,;,1.12,2.2821383,0.2,1.170469084,0,2.477109967,0,0.26965,0,F.IF.6,ST
1136,@4650,4650,Include in FY19 calib,FY18_Calibrated&Unused,,2060,1659,855,Include FY18 Calib,Operational FY16,,;,1.787199235,0.2903805,0.2425629,1.587768757,0,-0.007560575,0,0.16161,0,5.NBT.3b,CU
1137,@4656,4656,Include in FY19 calib,FY18_Calibrated&Unused,,239,248,698,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.0390566,0.2,0.001642395,0,0.459824,0,0.2,0,7.SP.1,CU
1138,@4660,4660,Include in FY19 calib,FY18 Operational ,,836,650,858,Include FY18 Calib,Operational FY16,,;,0.904152353,1.707697,0.2504085,1.609218434,0,1.662092778,0,0.28959,0,6.SP.5c,CU
1139,@4661,4661,Include in FY19 calib,FY18_Calibrated&Unused,,425,306,,Include FY18 Calib,Piloting FY16,,;,1.12,0.0293446,0.2,0,0,0,0,0,0,6.RP.3c,PU
1140,@4662,4662,Include in FY19 calib,FY18 Operational ,,3292,2533,1761,Include FY18 Calib,Operational FY16,Yes,",SKIP;",2.030082118,1.1339554,0.34526,2.030082103,0,1.133955454,0,0.34526,0,7.SP.5,PU
1141,@4663,4663,Include in FY19 calib,FY18_Calibrated&Unused,,184,184,,Include FY18 Calib,Piloting FY16,,;,1.12,1.3521786,0.2,0,0,0,0,0,0,8.G.2,PU
1142,@4665,4665,Include in FY19 calib,FY18_Calibrated&Unused,,368,342,712,Include FY18 Calib,Operational FY16,,;,1.12,2.1179194,0.2,1.31550897,0,1.930749253,0,0.22042,0,7.SP.1,ST
1143,@4668,4668,Include in FY19 calib,FY18 Operational ,,2418,1769,1401,Include FY18 Calib,Operational FY16,,;,1.131979706,1.249317,0.2135084,1.583317867,0,1.124670232,0,0.21732,0,8.G.2,PU
1144,@4669,4669,Include in FY19 calib,FY18_Calibrated&Unused,,1082,1107,1396,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.708456235,1.7369024,0.2321117,0.968963665,0,1.601321763,0,0.2598,0,2.MD.10,CU
1145,@4671,4671,Include in FY19 calib,FY18_Calibrated&Unused,,1221,1243,1392,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.134125118,1.4063279,0.4656039,1.985359693,0,1.284619593,0,0.48649,0,2.G.3,CU
1146,@4672,4672,Include in FY19 calib,FY18_Calibrated&Unused,,1234,1256,1405,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.096730647,0.7342357,0.4477377,1.488650231,0,0.665767174,0,0.45214,0,2.G.3,CU
1147,@4673,4673,Include in FY19 calib,FY18_Calibrated&Unused,,1221,1243,1394,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.908462941,-0.3542071,0.2624968,0.930942225,0,-0.373733189,0,0.20727,0,2.MD.3,PU
